processing,channel,sta_window_s,lta_window_s,threshold,n_records,n_records_noise_onset,n_records_pre_origin_onset,n_records_post_origin_onset,n_records_no_search_trigger,n_records_search_pre_origin,n_records_search_post_origin,noise_record_fraction,pre_origin_record_fraction,post_origin_coverage,n_onsets_noise_total,n_onsets_pre_origin_total,n_onsets_post_origin_total,median_search_latency_s,median_post_origin_latency_s
causal_bandpass,HHZ,0.5,10.0,2.5,120,119,72,120,0,72,48,0.9916666666666667,0.6,1.0,804,99,683,-2.0099805,4.4416585
causal_bandpass,HHZ,0.5,10.0,3.0,120,115,64,119,1,64,55,0.9583333333333334,0.5333333333333333,0.9916666666666667,601,78,479,-0.534183,5.163468
causal_bandpass,HHZ,0.5,10.0,3.5,120,112,57,118,1,57,62,0.9333333333333333,0.475,0.9833333333333333,418,67,368,1.209013,6.064582
causal_bandpass,HHZ,0.5,10.0,4.0,120,107,47,118,1,47,72,0.8916666666666667,0.39166666666666666,0.9833333333333333,318,55,288,2.883161,6.92798
causal_bandpass,HHZ,0.5,10.0,4.5,120,103,31,118,2,31,87,0.8583333333333333,0.25833333333333336,0.9833333333333333,225,35,258,4.5390725,7.178319999999999
causal_bandpass,HHZ,0.5,10.0,5.0,120,89,28,117,2,28,90,0.7416666666666667,0.23333333333333334,0.975,152,31,228,4.7194965,9.409238
causal_bandpass,HHZ,0.5,10.0,6.0,120,50,14,115,4,14,102,0.4166666666666667,0.11666666666666667,0.9583333333333334,64,14,187,9.0555615,9.674238
causal_bandpass,HHZ,0.5,10.0,8.0,120,12,3,111,9,3,108,0.1,0.025,0.925,14,3,159,9.828863,10.067911
causal_bandpass,HHZ,0.5,10.0,10.0,120,0,1,110,10,1,109,0.0,0.008333333333333333,0.9166666666666666,0,1,144,10.224513,10.224513
