event_id,origin_time_utc,magnitude,magnitude_type,station_id,channel,waveform_file,sampling_rate_hz,trace_duration_s,peak_amplitude_counts,rms_amplitude_counts,rms_signal_window_counts,noise_rms_counts,noise_window_start_s,noise_window_end_s,noise_window_note,snr_peak,snr_rms,signal_duration_s,sta_lta_threshold,sta_window_s,lta_window_s,p_pick_time_s,p_pick_sample,p_pick_sta_lta_value,p_pick_method
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964384_format_quakeml,2024-10-25T15:04:23.620000+00:00,4.54,ml,CI.ADO.--.BHZ,BHZ,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964384_format_quakeml/CI.ADO.--.BHZ.20241025T150423.mseed,40.0,300.0,119798.0,7142.008475241168,7258.676731864129,1396.3645154471665,0.0,5.0,samples_before_sta_lta_pick,85.79278453064695,5.19826782445817,289.525,2.5,0.5,10.0,10.15,406,2.580066106984825,trigger_onset_first
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964128_format_quakeml,2024-10-25T08:05:08.290000+00:00,4.72,mw,CI.ADO.--.BHZ,BHZ,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964128_format_quakeml/CI.ADO.--.BHZ.20241025T080508.mseed,40.0,300.0,187364.0,23562.829959606577,25222.6036491521,1921.8811331609454,0.0,5.0,samples_before_sta_lta_pick,97.48990026861846,13.123914488753071,246.525,2.5,0.5,10.0,38.4,1536,2.72244171555597,trigger_onset_first
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964048_format_quakeml,2024-10-25T06:52:08.300000+00:00,4.16,mw,CI.ADO.--.BHZ,BHZ,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964048_format_quakeml/CI.ADO.--.BHZ.20241025T065208.mseed,40.0,300.0,36823.0,3360.106621547398,3523.923555506372,1884.3343731938871,0.0,5.0,samples_before_sta_lta_pick,19.541648511981546,1.8701158380576761,115.925,2.5,0.5,10.0,38.95,1558,2.5716497059404264,trigger_onset_first
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_nn00882322_format_quakeml,2024-08-14T03:06:35.541000+00:00,4.39,ml,CI.ADO.--.BHZ,BHZ,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_nn00882322_format_quakeml/CI.ADO.--.BHZ.20240814T030635.mseed,40.0,300.0,17408.0,2510.269966109223,2583.7677476242648,2001.5023070184056,0.0,5.0,samples_before_sta_lta_pick,8.697466867241497,1.2909141990814126,114.25,2.5,0.5,10.0,47.5,1900,2.592656500490852,trigger_onset_first
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40699207_format_quakeml,2024-08-12T19:20:24.670000+00:00,4.39,mw,CI.USC.--.BHZ,BHZ,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40699207_format_quakeml/CI.USC.--.BHZ.20240812T192024.mseed,40.0,300.0,3486065.0,189425.9109293787,15449.630890121767,554077.0791821838,0.0,5.0,samples_before_sta_lta_pick,6.291660729127114,0.02788354088374379,0.0,2.5,0.5,10.0,55.15,2206,2.576332765400633,trigger_onset_first
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40675215_format_quakeml,2024-07-29T20:00:52.590000+00:00,4.87,mw,CI.ADO.--.BHZ,BHZ,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40675215_format_quakeml/CI.ADO.--.BHZ.20240729T200052.mseed,40.0,300.0,1386705.0,126116.04200598517,128839.06720086561,1781.8721390717124,0.0,5.0,samples_before_sta_lta_pick,778.2292396818217,72.30545019239476,285.275,2.5,0.5,10.0,12.55,502,2.5454062049230752,trigger_onset_first
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40593503_format_quakeml,2024-05-20T12:17:36.030000+00:00,4.05,mw,CI.ADO.--.BHZ,BHZ,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40593503_format_quakeml/CI.ADO.--.BHZ.20240520T121736.mseed,40.0,300.0,39793.0,4697.484786422056,4959.380522666636,1805.9282696164873,0.0,5.0,samples_before_sta_lta_pick,22.034651469546223,2.7461669469960874,136.175,2.5,0.5,10.0,35.625,1425,3.4370554670484883,trigger_onset_first
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40735352_format_quakeml,2024-05-01T20:49:00.760000+00:00,4.11,mw,CI.USC.--.BHZ,BHZ,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40735352_format_quakeml/CI.USC.--.BHZ.20240501T204900.mseed,40.0,300.0,170769.0,20534.278800213964,20955.421828049453,2196.975587028677,0.0,5.0,samples_before_sta_lta_pick,77.72912953983177,9.5383043634048,278.25,2.5,0.5,10.0,12.05,482,2.6482825962502927,trigger_onset_first
