event_id,short_id,station_id,magnitude,magnitude_type,sampling_rate_hz,p_pick_source,peak_amplitude,peak_to_peak_amplitude,rms,variance,std,zero_crossing_rate_hz,signal_energy,signal_entropy,crest_factor,dominant_frequency_hz,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_95_hz,spectral_entropy,p_arrival_time_s,signal_duration_s,pgm_proxy_counts,arias_intensity_counts2_s_proxy
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964384_format_quakeml,ci40964384,CI.ADO.--.BHZ,4.54,ml,40.0,phase_a2_metrics,117142.05678290271,215908.1411121543,6842.478118308348,46819506.74536167,6842.478114350215,9.88,14045852039.858566,2.28516603491696,17.119829213551583,0.6566666666666667,2.108148074015359,1.679016487631104,4.8133333333333335,9.756928572362368,10.15,284.575,117142.05678290271,14045852039.858566
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964128_format_quakeml,ci40964128,CI.ADO.--.BHZ,4.72,mw,40.0,phase_a2_metrics,185203.57775536575,357892.3341054465,23473.145164799476,550988543.9277288,23473.145164799043,6.073333333333333,165296563178.3247,3.312618943966399,7.890019699324255,0.49000000000000005,1.1799949482045635,1.1673437105989288,3.546666666666667,8.692278663744611,38.4,258.65,185203.57775536575,165296563178.3247
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964048_format_quakeml,ci40964048,CI.ADO.--.BHZ,4.16,mw,40.0,phase_a2_metrics,35222.15475697734,67015.61816691222,2805.499021610781,7870824.759916967,2805.4990215498146,14.293333333333333,2361247428.0777144,2.9823704130771653,12.554684384368274,0.49000000000000005,2.190615286893393,3.1929072668881773,10.16,9.222966307053968,38.95,257.7,35222.15475697734,2361247428.0777144
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_nn00882322_format_quakeml,nn00882322,CI.ADO.--.BHZ,4.39,ml,40.0,phase_a2_metrics,15619.1930116711,27678.95881642928,1588.7688015973824,2524186.3049254627,1588.7688015962117,17.363333333333333,757255891.4787549,3.6186614945598143,9.83100435756746,14.873333333333335,3.9270365976863335,4.132325801605228,14.790000000000001,10.282006934066814,47.5,248.0,15619.1930116711,757255891.4787549
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40699207_format_quakeml,ci40699207,CI.USC.--.BHZ,4.39,mw,40.0,phase_a2_metrics,1900132.318893217,3556870.0868152454,122616.77605421365,15034873769.574303,122616.77605276654,4.33,4510462130978.756,1.6048319718987147,15.496511815423156,2.1233333333333335,2.8550574139840386,1.6868646271004548,5.6433333333333335,10.31963598249526,55.15,0.0,1900132.318893217,4510462130978.756
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40675215_format_quakeml,ci40675215,CI.ADO.--.BHZ,4.87,mw,40.0,phase_a2_metrics,1389635.9899636323,2666705.673514572,125829.96292693658,15833179569.894901,125829.96292574714,3.98,4749953871058.271,2.2216485502108267,11.043760624570217,0.6966666666666667,2.3124609190129894,3.03015971879368,10.82,9.306526218848564,12.55,283.025,1389635.9899636323,4749953871058.271
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40593503_format_quakeml,ci40593503,CI.ADO.--.BHZ,4.05,mw,40.0,phase_a2_metrics,37959.858861047906,73733.49025869896,4347.369531403999,18899621.841661964,4347.369531298434,11.19,5669886552.773947,3.202492263373946,8.731684432813475,0.66,1.7861694522006641,1.9121423344533384,4.856666666666667,9.470850877699537,35.625,260.75,37959.858861047906,5669886552.773947
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40735352_format_quakeml,ci40735352,CI.USC.--.BHZ,4.11,mw,40.0,phase_a2_metrics,172154.58291914806,340293.1328921634,20480.071924772295,419433346.03621924,20480.071924586086,5.8,125830003813.15393,3.4357276465717623,8.40595597278705,0.5033333333333334,1.9705988469463438,2.1714241957868268,6.163333333333334,9.567964122993118,12.05,284.15,172154.58291914806,125830003813.15393
