event_id,origin_time_utc,latitude,longitude,depth_km,magnitude,magnitude_type,waveform_file_count,waveform_files,fdsn_event_provider,fdsn_waveform_provider
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964384_format_quakeml,2024-10-25T15:04:23.620000,36.5508333,-117.056,4.58,4.54,ml,1,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964384_format_quakeml/CI.ADO.--.BHZ.20241025T150423.mseed,USGS,EARTHSCOPE
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964128_format_quakeml,2024-10-25T08:05:08.290000,36.6016667,-117.0911667,3.98,4.72,mw,1,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964128_format_quakeml/CI.ADO.--.BHZ.20241025T080508.mseed,USGS,EARTHSCOPE
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964048_format_quakeml,2024-10-25T06:52:08.300000,36.604,-117.0985,4.34,4.16,mw,1,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40964048_format_quakeml/CI.ADO.--.BHZ.20241025T065208.mseed,USGS,EARTHSCOPE
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_nn00882322_format_quakeml,2024-08-14T03:06:35.541000,36.636,-115.7274,13.1619,4.39,ml,1,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_nn00882322_format_quakeml/CI.ADO.--.BHZ.20240814T030635.mseed,USGS,EARTHSCOPE
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40699207_format_quakeml,2024-08-12T19:20:24.670000,34.0825,-118.1788333,10.98,4.39,mw,1,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40699207_format_quakeml/CI.USC.--.BHZ.20240812T192024.mseed,USGS,EARTHSCOPE
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40675215_format_quakeml,2024-07-29T20:00:52.590000,34.9503333,-116.7866667,7.26,4.87,mw,1,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40675215_format_quakeml/CI.ADO.--.BHZ.20240729T200052.mseed,USGS,EARTHSCOPE
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40593503_format_quakeml,2024-05-20T12:17:36.030000,33.028,-116.0046667,11.18,4.05,mw,1,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40593503_format_quakeml/CI.ADO.--.BHZ.20240520T121736.mseed,USGS,EARTHSCOPE
quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40735352_format_quakeml,2024-05-01T20:49:00.760000,33.8111667,-117.6445,4.61,4.11,mw,1,quakeml_earthquake.usgs.gov_fdsnws_event_1_query_eventid_ci40735352_format_quakeml/CI.USC.--.BHZ.20240501T204900.mseed,USGS,EARTHSCOPE
